COUNTRY;Continent;Government_Type;Corruption_preception;Development_Status;GDP_per_unit_of_energy_use_constant;Population_total;;;;;;;;;
Burundi;Africa;Presidential republic;Highly corrupt;Developing economies;NA;9844297;;;;;;;;;
Cabo Verde;Africa;Semipresidential republic;Less corrupt;Developing economies;NA;518269;;;;;;;;;
Cambodia;Asia;Constitutional monarchy;Highly corrupt;Developing economies;7,4934567;15274503;;;;;;;;;
Cameroon;Africa;Presidential republic;Highly corrupt;Developing economies;9,349840713;22681858;;;;;;;;;
Canada;America;Constitutional monarchy;Less corrupt;Developed economies;5,463454706;35437435;;;;;;;;;
Cayman Islands;America;Constitutional monarchy;Less corrupt;Developing economies;NA;60848;;;;;;;;;
Central African Republic;Africa;Presidential republic;Highly corrupt;Developing economies;NA;4464175;;;;;;;;;
Chad;Africa;Presidential republic;Highly corrupt;Developing economies;NA;13663559;;;;;;;;;
Channel Islands;Europe;Constitutional monarchy;Less corrupt;Developing economies;NA;164100;;;;;;;;;
Chile;America;Presidential republic;Less corrupt;Developing economies;10,82860679;17758959;;;;;;;;;
China;Asia;Communist state;Less corrupt;Developing economies;5,689148724;1364270000;;;;;;;;;
Colombia;America;Presidential republic;Highly corrupt;Developing economies;17,79939332;46969209;;;;;;;;;
Comoros;Africa;Presidential republic;Highly corrupt;Developing economies;NA;759390;;;;;;;;;
Congo, Dem. Rep.;Africa;Presidential republic;Highly corrupt;Developing economies;2,015947343;73767447;;;;;;;;;
Congo, Rep.;Africa;Semipresidential republic;Highly corrupt;Developing economies;10,26455682;4736974;;;;;;;;;
Costa Rica;America;Presidential republic;Less corrupt;Developing economies;13,93834003;4795396;;;;;;;;;
Cote d'Ivoire;Africa;Presidential republic;Highly corrupt;Developing economies;4,960244293;22647683;;;;;;;;;
Croatia;Europe;Parlamentary republic;Highly corrupt;Developed economies;10,72160493;4238389;;;;;;;;;
Cuba;America;Communist state;Highly corrupt;Developing economies;NA;11306902;;;;;;;;;
Curacao;America;Constitutional monarchy;Less corrupt;Developing economies;2,090188434;155909;;;;;;;;;
Cyprus;Europe;Presidential republic;Less corrupt;Developing economies;12,72173833;1152285;;;;;;;;;
Czech Republic;Europe;Parlamentary republic;Less corrupt;Developing economies;7,437745036;10525347;;;;;;;;;
Denmark;Europe;Constitutional monarchy;Less corrupt;Developing economies;15,68526713;5643475;;;;;;;;;
Djibouti;Africa;Presidential republic;Highly corrupt;Developing economies;NA;898696;;;;;;;;;
Dominica;America;Parlamentary republic;Less corrupt;Developing economies;NA;71085;;;;;;;;;
Dominican Republic;America;Presidential republic;Highly corrupt;Developing economies;17,14871539;10165178;;;;;;;;;
Ecuador;America;Presidential republic;Highly corrupt;Developing economies;12,22558896;15951838;;;;;;;;;
Egypt, Arab Rep.;Africa;Semipresidential republic;Highly corrupt;Developing economies;12,12388689;90424654;;;;;;;;;
El Salvador;America;Presidential republic;Highly corrupt;Developing economies;10,60256587;6295128;;;;;;;;;
Equatorial Guinea;Africa;Presidential republic;Highly corrupt;Developing economies;NA;1122276;;;;;;;;;
Eritrea;Africa;Presidential republic;Highly corrupt;Developing economies;NA;NA;;;;;;;;;
Estonia;Europe;Parlamentary republic;Less corrupt;Developed economies;5,863951462;1314545;;;;;;;;;
Eswatini;Africa;Absolut monarchy;NI;Developing economies;NA;1095021;;;;;;;;;
Ethiopia;Africa;Parlamentary republic;Highly corrupt;Developing economies;2,867321091;98094253;;;;;;;;;
Faroe Islands;Europe;Constitutional monarchy;Less corrupt;Developed economies;NA;47960;;;;;;;;;
Fiji;Oceania;Parlamentary republic;NI;Developing economies;NA;866453;;;;;;;;;
Finland;Europe;Parlamentary republic;Less corrupt;Developed economies;6,325252825;5461512;;;;;;;;;
France;Europe;Semipresidential republic;Less corrupt;Developed economies;10,26979926;66316100;;;;;;;;;
French Polynesia;Asia;Semipresidential republic;Less corrupt;Developing economies;NA;271705;;;;;;;;;
Gabon;Africa;Presidential republic;Highly corrupt;Developing economies;6,163934779;1883800;;;;;;;;;
Gambia, The;Africa;Presidential republic;Highly corrupt;Developing economies;NA;2024042;;;;;;;;;
Georgia;Asia;Semipresidential republic;Less corrupt;Transition economies;7,777176911;3719414;;;;;;;;;
Germany;Europe;Parlamentary republic;Less corrupt;Developed economies;11,50287424;80982500;;;;;;;;;
Ghana;Africa;Presidential republic;Highly corrupt;Developing economies;11,42546471;27224472;;;;;;;;;
Gibraltar;Europe;Constitutional monarchy;Less corrupt;Developed economies;NA;33725;;;;;;;;;
Greece;Europe;Parlamentary republic;Highly corrupt;Developed economies;11,33841256;10892413;;;;;;;;;
Greenland;Europe;Constitutional monarchy;Less corrupt;Developed economies;NA;56295;;;;;;;;;
Grenada;America;Constitutional monarchy;Less corrupt;Developing economies;NA;108902;;;;;;;;;
Guam;Oceania;Presidential republic;Less corrupt;Developing economies;NA;161016;;;;;;;;;
Guatemala;America;Presidential republic;Highly corrupt;Developing economies;8,610370383;15923243;;;;;;;;;
Guinea;Africa;Presidential republic;Highly corrupt;Developing economies;NA;11150977;;;;;;;;;
Guinea-Bissau;Africa;Semipresidential republic;Highly corrupt;Developing economies;NA;1692439;;;;;;;;;
Guyana;America;Presidential republic;Highly corrupt;Developing economies;NA;763380;;;;;;;;;
Haiti;America;Semipresidential republic;Highly corrupt;Developing economies;4,207321395;10549008;;;;;;;;;
Honduras;America;Presidential republic;Highly corrupt;Developing economies;6,960965846;8955589;;;;;;;;;
Hong Kong SAR, China;Asia;Presidential limited democracy;Less corrupt;Developed economies;26,79008592;7229500;;;;;;;;;
Hungary;Europe;Parlamentary republic;Highly corrupt;Developed economies;10,4647964;9866468;;;;;;;;;
Iceland;Europe;Parlamentary republic;Less corrupt;Developed economies;2,387508447;327386;;;;;;;;;
India;Asia;Parlamentary republic;Highly corrupt;Developing economies;8,448227005;1295604184;;;;;;;;;
Indonesia;Asia;Presidential republic;Highly corrupt;Developing economies;11,31685123;255129004;;;;;;;;;
Iran, Islamic Rep.;Asia;Islamic Presidential Republic;Highly corrupt;Developing economies;5,59757043;77465753;;;;;;;;;
Iraq;Asia;Parlamentary republic;Highly corrupt;Developing economies;10,49764574;34411951;;;;;;;;;
Ireland;Europe;Parlamentary republic;Less corrupt;Developed economies;17,74102039;4657740;;;;;;;;;
Isle of Man;Europe;Constitutional monarchy;Less corrupt;Developing economies;NA;83488;;;;;;;;;
Israel;Asia;Parlamentary republic;Less corrupt;Developed economies;11,54714367;8215700;;;;;;;;;
Italy;Europe;Parlamentary republic;Less corrupt;Developed economies;14,09972569;60789140;;;;;;;;;
Jamaica;America;Constitutional monarchy;Highly corrupt;Developing economies;8,209153654;2875136;;;;;;;;;
Japan;Asia;Constitutional monarchy;Less corrupt;Developed economies;10,75766799;127276000;;;;;;;;;
Jordan;Asia;Constitutional monarchy;Highly corrupt;Developing economies;9,416143103;8920049;;;;;;;;;
Kazakhstan;Asia;Presidential republic;Highly corrupt;Transition economies;5,318885454;17288285;;;;;;;;;
Kenya;Africa;Presidential republic;Highly corrupt;Developing economies;5,362281045;46699981;;;;;;;;;
Kiribati;Oceania;Parlamentary republic;NI;Developing economies;NA;109391;;;;;;;;;
Korea, Dem. People’s Rep.;Asia;Dictatorship;Highly corrupt;Developing economies;NA;25057752;;;;;;;;;
Korea, Rep.;Asia;Presidential republic;Less corrupt;Developing economies;6,319520981;50746659;;;;;;;;;
Kosovo;Europe;Presidential republic;Highly corrupt;Developing economies;7,171862462;1821800;;;;;;;;;
Kuwait;Asia;Constitutional monarchy;Highly corrupt;Developing economies;7,908224803;3690942;;;;;;;;;
Kyrgyz Republic;Asia;Parlamentary republic;Highly corrupt;Developing economies;4,884525582;5835500;;;;;;;;;
Lao PDR;Asia;Communist state;Highly corrupt;Developing economies;NA;6639756;;;;;;;;;
Latvia;Europe;Parlamentary republic;Less corrupt;Developed economies;10,19910991;1993782;;;;;;;;;
Lebanon;Asia;Parlamentary republic;Highly corrupt;Developing economies;10,32005515;6262410;;;;;;;;;
Lesotho;Africa;Constitutional monarchy;Highly corrupt;Developing economies;NA;2043437;;;;;;;;;
Liberia;Africa;Presidential republic;Highly corrupt;Developing economies;NA;4359505;;;;;;;;;
Libya;Africa;In Transition (provisional government);Highly corrupt;Developing economies;5,68440417;6362037;;;;;;;;;
Liechtenstein;Europe;Constitutional monarchy;NI;Developed economies;NA;37223;;;;;;;;;
Lithuania;Europe;Semipresidential republic;Less corrupt;Developed economies;10,98848099;2932367;;;;;;;;;
Luxembourg;Europe;Constitutional monarchy;Less corrupt;Developed economies;13,45980917;556319;;;;;;;;;
Macao SAR, China;Asia;Semipresidential republic;Highly corrupt;Developing economies;NA;590208;;;;;;;;;
Madagascar;Africa;Semipresidential republic;Highly corrupt;Developing economies;NA;23589887;;;;;;;;;
Malawi;Africa;Presidential republic;Highly corrupt;Developing economies;NA;16289540;;;;;;;;;
Malaysia;Asia;Constitutional monarchy;Less corrupt;Developing economies;8,153090867;29866559;;;;;;;;;
Maldives;Asia;Presidential republic;Highly corrupt;Developing economies;NA;435015;;;;;;;;;
Mali;Africa;Semipresidential republic;Highly corrupt;Developing economies;NA;16934220;;;;;;;;;
Malta;Europe;Parlamentary republic;Less corrupt;Developed economies;17,96704348;434558;;;;;;;;;
Marshall Islands;Oceania;Parlamentary republic;NI;Developing economies;NA;57179;;;;;;;;;
Mauritania;Africa;Islamic Semipresidential Republic;Highly corrupt;Developing economies;NA;3930896;;;;;;;;;
Mauritius;Africa;Parlamentary republic;Less corrupt;Developing economies;16,42568457;1260934;;;;;;;;;
Mexico;America;Presidential republic;Highly corrupt;Developing economies;10,98026028;120355128;;;;;;;;;
Micronesia, Fed. Sts.;Oceania;Parlamentary republic;NI;Developing economies;NA;107446;;;;;;;;;
Moldova;Europe;Parlamentary republic;Highly corrupt;Developing economies;6,152179727;3556397;;;;;;;;;
Monaco;Europe;Constitutional monarchy;Less corrupt;Developing economies;NA;37322;;;;;;;;;
Mongolia;Asia;Semipresidential republic;Highly corrupt;Developing economies;6,173650167;2940108;;;;;;;;;
Montenegro;Europe;Parlamentary republic;Highly corrupt;Transition economies;9,619036757;621810;;;;;;;;;
Morocco;Africa;Constitutional monarchy;NI;Developing economies;12,99052363;34192347;;;;;;;;;
Mozambique;Africa;Semipresidential republic;Highly corrupt;Developing economies;2,761574282;26286163;;;;;;;;;
Myanmar;Asia;Parlamentary republic;NI;Developing economies;12,8270944;52280807;;;;;;;;;
Namibia;Africa;Semipresidential republic;Less corrupt;Developing economies;12,62763646;2273430;;;;;;;;;
Nauru;Oceania;Parlamentary republic;NI;Developing economies;NA;11853;;;;;;;;;
Nepal;Asia;Parlamentary republic;Highly corrupt;Developing economies;5,490792021;26906926;;;;;;;;;
Netherlands;Europe;Constitutional monarchy;Less corrupt;Developed economies;10,68962114;16865008;;;;;;;;;
New Caledonia;Oceania;Semipresidential republic;Less corrupt;Developing economies;NA;268050;;;;;;;;;
New Zealand;Oceania;Constitutional monarchy;Less corrupt;Developed economies;7,589666583;4509700;;;;;;;;;
Nicaragua;America;Presidential republic;Highly corrupt;Developing economies;7,85675329;6142733;;;;;;;;;
Niger;Africa;Semipresidential republic;Highly corrupt;Developing economies;6,000358809;19240157;;;;;;;;;
Nigeria;Africa;Presidential republic;Highly corrupt;Developing economies;7,448079989;176404902;;;;;;;;;
North Macedonia;Europe;Parlamentary republic;Highly corrupt;Transition economies;9,740901155;2077775;;;;;;;;;
Northern Mariana Islands;Oceania;Presidential republic;Less corrupt;Developing economies;NA;55305;;;;;;;;;
Norway;Europe;Constitutional monarchy;Less corrupt;Developed economies;11,31739962;5137232;;;;;;;;;
Oman;Asia;Absolut monarchy;Less corrupt;Developing economies;6,572250711;4027260;;;;;;;;;
Pakistan;Asia;Islamic Parlamentary Republic;Highly corrupt;Developing economies;9,446325077;195306825;;;;;;;;;
Palau;Oceania;Presidential republic;NI;Developing economies;NA;17626;;;;;;;;;
Panama;America;Presidential republic;Highly corrupt;Developing economies;18,55011492;3901315;;;;;;;;;
Papua New Guinea;Oceania;Constitutional monarchy;Highly corrupt;Developing economies;NA;7946731;;;;;;;;;
Paraguay;America;Presidential republic;Highly corrupt;Developing economies;13,88203921;6599526;;;;;;;;;
Peru;America;Presidential republic;Highly corrupt;Developing economies;15,04322516;30090359;;;;;;;;;
Philippines;Asia;Presidential republic;Highly corrupt;Developing economies;13,82880609;100513138;;;;;;;;;
Poland;Europe;Parlamentary republic;Less corrupt;Developed economies;9,846902035;38011735;;;;;;;;;
Portugal;Europe;Semipresidential republic;Less corrupt;Developed economies;12,79614618;10401062;;;;;;;;;
Puerto Rico;America;Presidential republic;Less corrupt;Developing economies;NA;3534874;;;;;;;;;
Qatar;Asia;Absolut monarchy;Less corrupt;Developing economies;6,510921526;2459198;;;;;;;;;
Romania;Europe;Semipresidential republic;Highly corrupt;Developed economies;12,44100671;19908979;;;;;;;;;
Russian Federation;Asia;Semipresidential republic;Highly corrupt;Transition economies;5,197100349;143819666;;;;;;;;;
Rwanda;Africa;Presidential republic;Less corrupt;Developing economies;NA;11083635;;;;;;;;;
Samoa;Oceania;Parlamentary republic;NI ;Developing economies;NA;192221;;;;;;;;;
San Marino;Europe;Semipresidential republic;NI ;Developed economies;NA;32948;;;;;;;;;
Sao Tome and Principe;Africa;Semipresidential republic;Highly corrupt;Developing economies;NA;195727;;;;;;;;;
Saudi Arabia;Asia;Absolut monarchy;Less corrupt;Developing economies;7,201496629;30916994;;;;;;;;;
Senegal;Africa;Semipresidential republic;Highly corrupt;Developing economies;10,39540562;14174731;;;;;;;;;
Serbia;Europe;Parlamentary republic;Highly corrupt;Transition economies;7,542955437;7130576;;;;;;;;;
Seychelles;Africa;Presidential republic;Less corrupt;Developing economies;NA;91359;;;;;;;;;
Sierra Leone;Africa;Presidential republic;Highly corrupt;Developing economies;NA;7017144;;;;;;;;;
Singapore;Asia;Parlamentary republic;Less corrupt;Developing economies;16,00321996;5469724;;;;;;;;;
Sint Maarten (Dutch part);America;Constitutional monarchy;Less corrupt;Developing economies;NA;37685;;;;;;;;;
Slovak Republic;Europe;Parlamentary republic;Less corrupt;Developing economies;9,294178435;5418649;;;;;;;;;
Slovenia;Europe;Parlamentary republic;Less corrupt;Developed economies;8,813505024;2061980;;;;;;;;;
Solomon Islands;Oceania;Constitutional monarchy;Highly corrupt;Developing economies;NA;587079;;;;;;;;;
Somalia;Africa;Presidential republic;Highly corrupt;Developing economies;NA;13423576;;;;;;;;;
South Africa;Africa;Parlamentary republic;Highly corrupt;Developing economies;4,596045455;54545991;;;;;;;;;
South Sudan;Africa;Presidential republic;Highly corrupt;Developing economies;27,39740119;10554883;;;;;;;;;
Spain;Europe;Constitutional monarchy;Less corrupt;Developed economies;12,60908102;46480882;;;;;;;;;
Sri Lanka;Asia;Semipresidential republic;Highly corrupt;Developing economies;20,65290911;20778000;;;;;;;;;
St. Kitts and Nevis;America;Constitutional monarchy;NI;Developing economies;NA;50774;;;;;;;;;
St. Lucia;America;Constitutional monarchy;Less corrupt;Developing economies;NA;178296;;;;;;;;;
St. Martin (French part);America;Semipresidential republic;Less corrupt;Developing economies;NA;36015;;;;;;;;;
St. Vincent and the Grenadines;America;Constitutional monarchy;Less corrupt;Developing economies;NA;108861;;;;;;;;;
Sudan;Africa;Presidential republic;Highly corrupt;Developing economies;10,54606307;37977655;;;;;;;;;
Suriname;America;Parlamentary republic;Highly corrupt;Developing economies;12,15308483;553273;;;;;;;;;
Sweden;Europe;Constitutional monarchy;Less corrupt;Developed economies;9,013000672;9696110;;;;;;;;;
Switzerland;Europe;Parlamentary republic;Less corrupt;Developed economies;18,69908692;8188649;;;;;;;;;
Syrian Arab Republic;Asia;Semipresidential republic;Highly corrupt;Developing economies;NA;18715672;;;;;;;;;
Tajikistan;Asia;Presidential republic;Highly corrupt;Transition economies;7,592265036;8252833;;;;;;;;;
Tanzania;Africa;Presidential republic;Highly corrupt;Developing economies;4,954448773;49959822;;;;;;;;;
Thailand;Asia;Constitutional monarchy;Highly corrupt;Developing economies;7,543130095;68438730;;;;;;;;;
Timor-Leste;Asia;Semipresidential republic;Highly corrupt;Developing economies;NA;1174331;;;;;;;;;
Togo;Africa;Presidential republic;Highly corrupt;Developing economies;3,078012678;7137997;;;;;;;;;
Tonga;Oceania;Constitutional monarchy;NI;Developing economies;NA;101028;;;;;;;;;
Trinidad and Tobago;America;Parlamentary republic;Highly corrupt;Developing economies;2,170096055;1362342;;;;;;;;;
Tunisia;Africa;Semipresidential republic;Highly corrupt;Developing economies;11,41049954;11063201;;;;;;;;;
Turkey;Asia;Presidential republic;Highly corrupt;Developing economies;14,19792318;77231907;;;;;;;;;
Turkmenistan;Asia;Presidential republic;Highly corrupt;Transition economies;2,928865308;5466328;;;;;;;;;
Turks and Caicos Islands;America;Constitutional monarchy;NI;Developing economies;NA;35369;;;;;;;;;
Tuvalu;Oceania;Constitutional monarchy;Highly corrupt;Developing economies;NA;10972;;;;;;;;;
Uganda;Africa;Presidential republic;Highly corrupt;Developing economies;NA;36912148;;;;;;;;;
Ukraine;Europe;Semipresidential republic;Highly corrupt;Transition economies;3,354154134;45271947;;;;;;;;;
United Arab Emirates;Asia;Constitutional monarchy;Less corrupt;Developing economies;8,221288632;9214175;;;;;;;;;
United Kingdom;Europe;Constitutional monarchy;Less corrupt;Developed economies;13,9344853;64613160;;;;;;;;;
United States;America;Presidential republic;Less corrupt;Developed economies;7,482139348;318386421;;;;;;;;;
Uruguay;America;Presidential republic;Less corrupt;Developing economies;14,38579749;3400434;;;;;;;;;
Uzbekistan;Asia;Presidential republic;Highly corrupt;Transition economies;NA;30757700;;;;;;;;;
Vanuatu;Oceania;Parlamentary republic;Highly corrupt;Developing economies;NA;263888;;;;;;;;;
Venezuela, RB;America;Presidential republic;Highly corrupt;Developing economies;NA;30045134;;;;;;;;;
Vietnam;Asia;Communist state;Highly corrupt;Developing economies;NA;91714595;;;;;;;;;
Virgin Islands (U.S.);America;Presidential republic;Less corrupt;Developing economies;NA;107884;;;;;;;;;
West Bank and Gaza / Palestine;Asia;Semipresidential republic;NI;Developing economies;NA;4173398;;;;;;;;;
Yemen, Rep.;Asia;In Transition (provisional government);Highly corrupt;Developing economies;NA;25823485;;;;;;;;;
Zambia;Africa;Presidential republic;Highly corrupt;Developing economies;NA;15399753;;;;;;;;;
Zimbabwe;Africa;Presidential republic;Highly corrupt;Developing economies;NA;13586681;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
