"iso_code","location","population","popDensity","medianAge","gdp","govt","corruption","healthSecurity","obesity"
"ARE","United Arab Emirates",9890400,112.442,34,67293.483,"Constitutional monarchy","Less corrupt","More prepared",14.5
"ARE","United Arab Emirates",9890400,112.442,34,67293.483,"Constitutional monarchy","Less corrupt","More prepared",14.9
"ARE","United Arab Emirates",9890400,112.442,34,67293.483,"Constitutional monarchy","Less corrupt","More prepared",15.2
"ARE","United Arab Emirates",9890400,112.442,34,67293.483,"Constitutional monarchy","Less corrupt","More prepared",15.6
"ARE","United Arab Emirates",9890400,112.442,34,67293.483,"Constitutional monarchy","Less corrupt","More prepared",16.1
"ARE","United Arab Emirates",9890400,112.442,34,67293.483,"Constitutional monarchy","Less corrupt","More prepared",16.5
"ARE","United Arab Emirates",9890400,112.442,34,67293.483,"Constitutional monarchy","Less corrupt","More prepared",16.8
"ARE","United Arab Emirates",9890400,112.442,34,67293.483,"Constitutional monarchy","Less corrupt","More prepared",17.1
"ARE","United Arab Emirates",9890400,112.442,34,67293.483,"Constitutional monarchy","Less corrupt","More prepared",17.4
"ARE","United Arab Emirates",9890400,112.442,34,67293.483,"Constitutional monarchy","Less corrupt","More prepared",17.7
"ARE","United Arab Emirates",9890400,112.442,34,67293.483,"Constitutional monarchy","Less corrupt","More prepared",18
"ARE","United Arab Emirates",9890400,112.442,34,67293.483,"Constitutional monarchy","Less corrupt","More prepared",18.3
"ARE","United Arab Emirates",9890400,112.442,34,67293.483,"Constitutional monarchy","Less corrupt","More prepared",18.6
"ARE","United Arab Emirates",9890400,112.442,34,67293.483,"Constitutional monarchy","Less corrupt","More prepared",18.9
"ARE","United Arab Emirates",9890400,112.442,34,67293.483,"Constitutional monarchy","Less corrupt","More prepared",19.2
"ARE","United Arab Emirates",9890400,112.442,34,67293.483,"Constitutional monarchy","Less corrupt","More prepared",19.5
"ARE","United Arab Emirates",9890400,112.442,34,67293.483,"Constitutional monarchy","Less corrupt","More prepared",19.8
"ARE","United Arab Emirates",9890400,112.442,34,67293.483,"Constitutional monarchy","Less corrupt","More prepared",20.1
"ARE","United Arab Emirates",9890400,112.442,34,67293.483,"Constitutional monarchy","Less corrupt","More prepared",20.5
"ARE","United Arab Emirates",9890400,112.442,34,67293.483,"Constitutional monarchy","Less corrupt","More prepared",20.9
"ARE","United Arab Emirates",9890400,112.442,34,67293.483,"Constitutional monarchy","Less corrupt","More prepared",21.3
"ARE","United Arab Emirates",9890400,112.442,34,67293.483,"Constitutional monarchy","Less corrupt","More prepared",21.8
"ARE","United Arab Emirates",9890400,112.442,34,67293.483,"Constitutional monarchy","Less corrupt","More prepared",22.3
"ARE","United Arab Emirates",9890400,112.442,34,67293.483,"Constitutional monarchy","Less corrupt","More prepared",22.8
"ARE","United Arab Emirates",9890400,112.442,34,67293.483,"Constitutional monarchy","Less corrupt","More prepared",23.4
"ARE","United Arab Emirates",9890400,112.442,34,67293.483,"Constitutional monarchy","Less corrupt","More prepared",23.9
"ARE","United Arab Emirates",9890400,112.442,34,67293.483,"Constitutional monarchy","Less corrupt","More prepared",24.5
"ARE","United Arab Emirates",9890400,112.442,34,67293.483,"Constitutional monarchy","Less corrupt","More prepared",25
"ARE","United Arab Emirates",9890400,112.442,34,67293.483,"Constitutional monarchy","Less corrupt","More prepared",25.7
"ARE","United Arab Emirates",9890400,112.442,34,67293.483,"Constitutional monarchy","Less corrupt","More prepared",26.3
"ARE","United Arab Emirates",9890400,112.442,34,67293.483,"Constitutional monarchy","Less corrupt","More prepared",27
"ARE","United Arab Emirates",9890400,112.442,34,67293.483,"Constitutional monarchy","Less corrupt","More prepared",27.7
"ARE","United Arab Emirates",9890400,112.442,34,67293.483,"Constitutional monarchy","Less corrupt","More prepared",28.3
"ARE","United Arab Emirates",9890400,112.442,34,67293.483,"Constitutional monarchy","Less corrupt","More prepared",29
"ARE","United Arab Emirates",9890400,112.442,34,67293.483,"Constitutional monarchy","Less corrupt","More prepared",29.7
"ARE","United Arab Emirates",9890400,112.442,34,67293.483,"Constitutional monarchy","Less corrupt","More prepared",30.3
"ARE","United Arab Emirates",9890400,112.442,34,67293.483,"Constitutional monarchy","Less corrupt","More prepared",31
"ARE","United Arab Emirates",9890400,112.442,34,67293.483,"Constitutional monarchy","Less corrupt","More prepared",31.7
"ARG","Argentina",45195777,16.177,31.9,18933.907,"Presidential republic","Highly corrupt","More prepared",11.2
"ARG","Argentina",45195777,16.177,31.9,18933.907,"Presidential republic","Highly corrupt","More prepared",11.5
"ARG","Argentina",45195777,16.177,31.9,18933.907,"Presidential republic","Highly corrupt","More prepared",11.8
"ARG","Argentina",45195777,16.177,31.9,18933.907,"Presidential republic","Highly corrupt","More prepared",12.1
"ARG","Argentina",45195777,16.177,31.9,18933.907,"Presidential republic","Highly corrupt","More prepared",12.5
"ARG","Argentina",45195777,16.177,31.9,18933.907,"Presidential republic","Highly corrupt","More prepared",12.8
"ARG","Argentina",45195777,16.177,31.9,18933.907,"Presidential republic","Highly corrupt","More prepared",13.1
"ARG","Argentina",45195777,16.177,31.9,18933.907,"Presidential republic","Highly corrupt","More prepared",13.5
"ARG","Argentina",45195777,16.177,31.9,18933.907,"Presidential republic","Highly corrupt","More prepared",13.8
"ARG","Argentina",45195777,16.177,31.9,18933.907,"Presidential republic","Highly corrupt","More prepared",14.2
"ARG","Argentina",45195777,16.177,31.9,18933.907,"Presidential republic","Highly corrupt","More prepared",14.6
"ARG","Argentina",45195777,16.177,31.9,18933.907,"Presidential republic","Highly corrupt","More prepared",15
"ARG","Argentina",45195777,16.177,31.9,18933.907,"Presidential republic","Highly corrupt","More prepared",15.4
"ARG","Argentina",45195777,16.177,31.9,18933.907,"Presidential republic","Highly corrupt","More prepared",15.8
"ARG","Argentina",45195777,16.177,31.9,18933.907,"Presidential republic","Highly corrupt","More prepared",16.2
"ARG","Argentina",45195777,16.177,31.9,18933.907,"Presidential republic","Highly corrupt","More prepared",16.6
"ARG","Argentina",45195777,16.177,31.9,18933.907,"Presidential republic","Highly corrupt","More prepared",17
"ARG","Argentina",45195777,16.177,31.9,18933.907,"Presidential republic","Highly corrupt","More prepared",17.4
"ARG","Argentina",45195777,16.177,31.9,18933.907,"Presidential republic","Highly corrupt","More prepared",17.8
"ARG","Argentina",45195777,16.177,31.9,18933.907,"Presidential republic","Highly corrupt","More prepared",18.2
"ARG","Argentina",45195777,16.177,31.9,18933.907,"Presidential republic","Highly corrupt","More prepared",18.6
"ARG","Argentina",45195777,16.177,31.9,18933.907,"Presidential republic","Highly corrupt","More prepared",19.1
"ARG","Argentina",45195777,16.177,31.9,18933.907,"Presidential republic","Highly corrupt","More prepared",19.5
"ARG","Argentina",45195777,16.177,31.9,18933.907,"Presidential republic","Highly corrupt","More prepared",19.9
"ARG","Argentina",45195777,16.177,31.9,18933.907,"Presidential republic","Highly corrupt","More prepared",20.3
"ARG","Argentina",45195777,16.177,31.9,18933.907,"Presidential republic","Highly corrupt","More prepared",20.7
"ARG","Argentina",45195777,16.177,31.9,18933.907,"Presidential republic","Highly corrupt","More prepared",21.2
"ARG","Argentina",45195777,16.177,31.9,18933.907,"Presidential republic","Highly corrupt","More prepared",21.6
"ARG","Argentina",45195777,16.177,31.9,18933.907,"Presidential republic","Highly corrupt","More prepared",22.1
"ARG","Argentina",45195777,16.177,31.9,18933.907,"Presidential republic","Highly corrupt","More prepared",22.5
"ARG","Argentina",45195777,16.177,31.9,18933.907,"Presidential republic","Highly corrupt","More prepared",23
"ARG","Argentina",45195777,16.177,31.9,18933.907,"Presidential republic","Highly corrupt","More prepared",23.4
"ARG","Argentina",45195777,16.177,31.9,18933.907,"Presidential republic","Highly corrupt","More prepared",23.9
"ARG","Argentina",45195777,16.177,31.9,18933.907,"Presidential republic","Highly corrupt","More prepared",24.4
"ARG","Argentina",45195777,16.177,31.9,18933.907,"Presidential republic","Highly corrupt","More prepared",24.8
"ARG","Argentina",45195777,16.177,31.9,18933.907,"Presidential republic","Highly corrupt","More prepared",25.3
"ARG","Argentina",45195777,16.177,31.9,18933.907,"Presidential republic","Highly corrupt","More prepared",25.8
"ARG","Argentina",45195777,16.177,31.9,18933.907,"Presidential republic","Highly corrupt","More prepared",26.3
"ARG","Argentina",45195777,16.177,31.9,18933.907,"Presidential republic","Highly corrupt","More prepared",26.8
"ARG","Argentina",45195777,16.177,31.9,18933.907,"Presidential republic","Highly corrupt","More prepared",27.3
"ARG","Argentina",45195777,16.177,31.9,18933.907,"Presidential republic","Highly corrupt","More prepared",27.8
"ARG","Argentina",45195777,16.177,31.9,18933.907,"Presidential republic","Highly corrupt","More prepared",28.3
"ARM","Armenia",2963234,102.931,35.7,8787.58,"Presidential republic","Highly corrupt","More prepared",7.3
"ARM","Armenia",2963234,102.931,35.7,8787.58,"Presidential republic","Highly corrupt","More prepared",7.6
"ARM","Armenia",2963234,102.931,35.7,8787.58,"Presidential republic","Highly corrupt","More prepared",7.9
"ARM","Armenia",2963234,102.931,35.7,8787.58,"Presidential republic","Highly corrupt","More prepared",8.1
"ARM","Armenia",2963234,102.931,35.7,8787.58,"Presidential republic","Highly corrupt","More prepared",8.4
"ARM","Armenia",2963234,102.931,35.7,8787.58,"Presidential republic","Highly corrupt","More prepared",8.7
"ARM","Armenia",2963234,102.931,35.7,8787.58,"Presidential republic","Highly corrupt","More prepared",9
"ARM","Armenia",2963234,102.931,35.7,8787.58,"Presidential republic","Highly corrupt","More prepared",9.3
"ARM","Armenia",2963234,102.931,35.7,8787.58,"Presidential republic","Highly corrupt","More prepared",9.5
"ARM","Armenia",2963234,102.931,35.7,8787.58,"Presidential republic","Highly corrupt","More prepared",9.8
"ARM","Armenia",2963234,102.931,35.7,8787.58,"Presidential republic","Highly corrupt","More prepared",10.1
"ARM","Armenia",2963234,102.931,35.7,8787.58,"Presidential republic","Highly corrupt","More prepared",10.3
"ARM","Armenia",2963234,102.931,35.7,8787.58,"Presidential republic","Highly corrupt","More prepared",10.6
"ARM","Armenia",2963234,102.931,35.7,8787.58,"Presidential republic","Highly corrupt","More prepared",10.9
"ARM","Armenia",2963234,102.931,35.7,8787.58,"Presidential republic","Highly corrupt","More prepared",11.2
"ARM","Armenia",2963234,102.931,35.7,8787.58,"Presidential republic","Highly corrupt","More prepared",11.4
"ARM","Armenia",2963234,102.931,35.7,8787.58,"Presidential republic","Highly corrupt","More prepared",11.7
"ARM","Armenia",2963234,102.931,35.7,8787.58,"Presidential republic","Highly corrupt","More prepared",12
"ARM","Armenia",2963234,102.931,35.7,8787.58,"Presidential republic","Highly corrupt","More prepared",12.3
"ARM","Armenia",2963234,102.931,35.7,8787.58,"Presidential republic","Highly corrupt","More prepared",12.5
"ARM","Armenia",2963234,102.931,35.7,8787.58,"Presidential republic","Highly corrupt","More prepared",12.8
"ARM","Armenia",2963234,102.931,35.7,8787.58,"Presidential republic","Highly corrupt","More prepared",13.1
"ARM","Armenia",2963234,102.931,35.7,8787.58,"Presidential republic","Highly corrupt","More prepared",13.3
"ARM","Armenia",2963234,102.931,35.7,8787.58,"Presidential republic","Highly corrupt","More prepared",13.6
"ARM","Armenia",2963234,102.931,35.7,8787.58,"Presidential republic","Highly corrupt","More prepared",13.9
"ARM","Armenia",2963234,102.931,35.7,8787.58,"Presidential republic","Highly corrupt","More prepared",14.2
"ARM","Armenia",2963234,102.931,35.7,8787.58,"Presidential republic","Highly corrupt","More prepared",14.4
"ARM","Armenia",2963234,102.931,35.7,8787.58,"Presidential republic","Highly corrupt","More prepared",14.7
"ARM","Armenia",2963234,102.931,35.7,8787.58,"Presidential republic","Highly corrupt","More prepared",15
"ARM","Armenia",2963234,102.931,35.7,8787.58,"Presidential republic","Highly corrupt","More prepared",15.4
"ARM","Armenia",2963234,102.931,35.7,8787.58,"Presidential republic","Highly corrupt","More prepared",15.7
"ARM","Armenia",2963234,102.931,35.7,8787.58,"Presidential republic","Highly corrupt","More prepared",16
"ARM","Armenia",2963234,102.931,35.7,8787.58,"Presidential republic","Highly corrupt","More prepared",16.4
"ARM","Armenia",2963234,102.931,35.7,8787.58,"Presidential republic","Highly corrupt","More prepared",16.7
"ARM","Armenia",2963234,102.931,35.7,8787.58,"Presidential republic","Highly corrupt","More prepared",17.1
"ARM","Armenia",2963234,102.931,35.7,8787.58,"Presidential republic","Highly corrupt","More prepared",17.5
"ARM","Armenia",2963234,102.931,35.7,8787.58,"Presidential republic","Highly corrupt","More prepared",17.9
"ARM","Armenia",2963234,102.931,35.7,8787.58,"Presidential republic","Highly corrupt","More prepared",18.3
"ARM","Armenia",2963234,102.931,35.7,8787.58,"Presidential republic","Highly corrupt","More prepared",18.8
"ARM","Armenia",2963234,102.931,35.7,8787.58,"Presidential republic","Highly corrupt","More prepared",19.2
"ARM","Armenia",2963234,102.931,35.7,8787.58,"Presidential republic","Highly corrupt","More prepared",19.7
"ARM","Armenia",2963234,102.931,35.7,8787.58,"Presidential republic","Highly corrupt","More prepared",20.2
"AUS","Australia",25499881,3.202,37.9,44648.71,"Constitutional monarchy","Less corrupt","Most prepared",10.5
"AUS","Australia",25499881,3.202,37.9,44648.71,"Constitutional monarchy","Less corrupt","Most prepared",10.8
"AUS","Australia",25499881,3.202,37.9,44648.71,"Constitutional monarchy","Less corrupt","Most prepared",11
"AUS","Australia",25499881,3.202,37.9,44648.71,"Constitutional monarchy","Less corrupt","Most prepared",11.3
"AUS","Australia",25499881,3.202,37.9,44648.71,"Constitutional monarchy","Less corrupt","Most prepared",11.6
"AUS","Australia",25499881,3.202,37.9,44648.71,"Constitutional monarchy","Less corrupt","Most prepared",11.9
"AUS","Australia",25499881,3.202,37.9,44648.71,"Constitutional monarchy","Less corrupt","Most prepared",12.2
"AUS","Australia",25499881,3.202,37.9,44648.71,"Constitutional monarchy","Less corrupt","Most prepared",12.5
"AUS","Australia",25499881,3.202,37.9,44648.71,"Constitutional monarchy","Less corrupt","Most prepared",12.8
"AUS","Australia",25499881,3.202,37.9,44648.71,"Constitutional monarchy","Less corrupt","Most prepared",13.1
"AUS","Australia",25499881,3.202,37.9,44648.71,"Constitutional monarchy","Less corrupt","Most prepared",13.5
"AUS","Australia",25499881,3.202,37.9,44648.71,"Constitutional monarchy","Less corrupt","Most prepared",13.8
"AUS","Australia",25499881,3.202,37.9,44648.71,"Constitutional monarchy","Less corrupt","Most prepared",14.2
"AUS","Australia",25499881,3.202,37.9,44648.71,"Constitutional monarchy","Less corrupt","Most prepared",14.5
"AUS","Australia",25499881,3.202,37.9,44648.71,"Constitutional monarchy","Less corrupt","Most prepared",14.9
"AUS","Australia",25499881,3.202,37.9,44648.71,"Constitutional monarchy","Less corrupt","Most prepared",15.3
"AUS","Australia",25499881,3.202,37.9,44648.71,"Constitutional monarchy","Less corrupt","Most prepared",15.7
"AUS","Australia",25499881,3.202,37.9,44648.71,"Constitutional monarchy","Less corrupt","Most prepared",16.2
"AUS","Australia",25499881,3.202,37.9,44648.71,"Constitutional monarchy","Less corrupt","Most prepared",16.6
"AUS","Australia",25499881,3.202,37.9,44648.71,"Constitutional monarchy","Less corrupt","Most prepared",17.1
"AUS","Australia",25499881,3.202,37.9,44648.71,"Constitutional monarchy","Less corrupt","Most prepared",17.6
"AUS","Australia",25499881,3.202,37.9,44648.71,"Constitutional monarchy","Less corrupt","Most prepared",18.1
"AUS","Australia",25499881,3.202,37.9,44648.71,"Constitutional monarchy","Less corrupt","Most prepared",18.6
"AUS","Australia",25499881,3.202,37.9,44648.71,"Constitutional monarchy","Less corrupt","Most prepared",19.1
"AUS","Australia",25499881,3.202,37.9,44648.71,"Constitutional monarchy","Less corrupt","Most prepared",19.7
"AUS","Australia",25499881,3.202,37.9,44648.71,"Constitutional monarchy","Less corrupt","Most prepared",20.2
"AUS","Australia",25499881,3.202,37.9,44648.71,"Constitutional monarchy","Less corrupt","Most prepared",20.7
"AUS","Australia",25499881,3.202,37.9,44648.71,"Constitutional monarchy","Less corrupt","Most prepared",21.3
"AUS","Australia",25499881,3.202,37.9,44648.71,"Constitutional monarchy","Less corrupt","Most prepared",21.8
"AUS","Australia",25499881,3.202,37.9,44648.71,"Constitutional monarchy","Less corrupt","Most prepared",22.4
"AUS","Australia",25499881,3.202,37.9,44648.71,"Constitutional monarchy","Less corrupt","Most prepared",22.9
"AUS","Australia",25499881,3.202,37.9,44648.71,"Constitutional monarchy","Less corrupt","Most prepared",23.5
"AUS","Australia",25499881,3.202,37.9,44648.71,"Constitutional monarchy","Less corrupt","Most prepared",24
"AUS","Australia",25499881,3.202,37.9,44648.71,"Constitutional monarchy","Less corrupt","Most prepared",24.6
"AUS","Australia",25499881,3.202,37.9,44648.71,"Constitutional monarchy","Less corrupt","Most prepared",25.1
"AUS","Australia",25499881,3.202,37.9,44648.71,"Constitutional monarchy","Less corrupt","Most prepared",25.6
"AUS","Australia",25499881,3.202,37.9,44648.71,"Constitutional monarchy","Less corrupt","Most prepared",26.2
"AUS","Australia",25499881,3.202,37.9,44648.71,"Constitutional monarchy","Less corrupt","Most prepared",26.7
"AUS","Australia",25499881,3.202,37.9,44648.71,"Constitutional monarchy","Less corrupt","Most prepared",27.3
"AUS","Australia",25499881,3.202,37.9,44648.71,"Constitutional monarchy","Less corrupt","Most prepared",27.9
"AUS","Australia",25499881,3.202,37.9,44648.71,"Constitutional monarchy","Less corrupt","Most prepared",28.4
"AUS","Australia",25499881,3.202,37.9,44648.71,"Constitutional monarchy","Less corrupt","Most prepared",29
"BEL","Belgium",11589616,375.564,41.8,42658.576,"Constitutional monarchy","Less corrupt","More prepared",10.5
"BEL","Belgium",11589616,375.564,41.8,42658.576,"Constitutional monarchy","Less corrupt","More prepared",10.7
"BEL","Belgium",11589616,375.564,41.8,42658.576,"Constitutional monarchy","Less corrupt","More prepared",10.9
"BEL","Belgium",11589616,375.564,41.8,42658.576,"Constitutional monarchy","Less corrupt","More prepared",11.1
"BEL","Belgium",11589616,375.564,41.8,42658.576,"Constitutional monarchy","Less corrupt","More prepared",11.4
"BEL","Belgium",11589616,375.564,41.8,42658.576,"Constitutional monarchy","Less corrupt","More prepared",11.6
"BEL","Belgium",11589616,375.564,41.8,42658.576,"Constitutional monarchy","Less corrupt","More prepared",11.8
"BEL","Belgium",11589616,375.564,41.8,42658.576,"Constitutional monarchy","Less corrupt","More prepared",12
"BEL","Belgium",11589616,375.564,41.8,42658.576,"Constitutional monarchy","Less corrupt","More prepared",12.3
"BEL","Belgium",11589616,375.564,41.8,42658.576,"Constitutional monarchy","Less corrupt","More prepared",12.5
"BEL","Belgium",11589616,375.564,41.8,42658.576,"Constitutional monarchy","Less corrupt","More prepared",12.7
"BEL","Belgium",11589616,375.564,41.8,42658.576,"Constitutional monarchy","Less corrupt","More prepared",13
"BEL","Belgium",11589616,375.564,41.8,42658.576,"Constitutional monarchy","Less corrupt","More prepared",13.2
"BEL","Belgium",11589616,375.564,41.8,42658.576,"Constitutional monarchy","Less corrupt","More prepared",13.5
"BEL","Belgium",11589616,375.564,41.8,42658.576,"Constitutional monarchy","Less corrupt","More prepared",13.8
"BEL","Belgium",11589616,375.564,41.8,42658.576,"Constitutional monarchy","Less corrupt","More prepared",14
"BEL","Belgium",11589616,375.564,41.8,42658.576,"Constitutional monarchy","Less corrupt","More prepared",14.3
"BEL","Belgium",11589616,375.564,41.8,42658.576,"Constitutional monarchy","Less corrupt","More prepared",14.6
"BEL","Belgium",11589616,375.564,41.8,42658.576,"Constitutional monarchy","Less corrupt","More prepared",14.9
"BEL","Belgium",11589616,375.564,41.8,42658.576,"Constitutional monarchy","Less corrupt","More prepared",15.2
"BEL","Belgium",11589616,375.564,41.8,42658.576,"Constitutional monarchy","Less corrupt","More prepared",15.5
"BEL","Belgium",11589616,375.564,41.8,42658.576,"Constitutional monarchy","Less corrupt","More prepared",15.8
"BEL","Belgium",11589616,375.564,41.8,42658.576,"Constitutional monarchy","Less corrupt","More prepared",16.1
"BEL","Belgium",11589616,375.564,41.8,42658.576,"Constitutional monarchy","Less corrupt","More prepared",16.4
"BEL","Belgium",11589616,375.564,41.8,42658.576,"Constitutional monarchy","Less corrupt","More prepared",16.7
"BEL","Belgium",11589616,375.564,41.8,42658.576,"Constitutional monarchy","Less corrupt","More prepared",17
"BEL","Belgium",11589616,375.564,41.8,42658.576,"Constitutional monarchy","Less corrupt","More prepared",17.3
"BEL","Belgium",11589616,375.564,41.8,42658.576,"Constitutional monarchy","Less corrupt","More prepared",17.6
"BEL","Belgium",11589616,375.564,41.8,42658.576,"Constitutional monarchy","Less corrupt","More prepared",17.9
"BEL","Belgium",11589616,375.564,41.8,42658.576,"Constitutional monarchy","Less corrupt","More prepared",18.2
"BEL","Belgium",11589616,375.564,41.8,42658.576,"Constitutional monarchy","Less corrupt","More prepared",18.5
"BEL","Belgium",11589616,375.564,41.8,42658.576,"Constitutional monarchy","Less corrupt","More prepared",18.9
"BEL","Belgium",11589616,375.564,41.8,42658.576,"Constitutional monarchy","Less corrupt","More prepared",19.2
"BEL","Belgium",11589616,375.564,41.8,42658.576,"Constitutional monarchy","Less corrupt","More prepared",19.5
"BEL","Belgium",11589616,375.564,41.8,42658.576,"Constitutional monarchy","Less corrupt","More prepared",19.8
"BEL","Belgium",11589616,375.564,41.8,42658.576,"Constitutional monarchy","Less corrupt","More prepared",20.1
"BEL","Belgium",11589616,375.564,41.8,42658.576,"Constitutional monarchy","Less corrupt","More prepared",20.4
"BEL","Belgium",11589616,375.564,41.8,42658.576,"Constitutional monarchy","Less corrupt","More prepared",20.7
"BEL","Belgium",11589616,375.564,41.8,42658.576,"Constitutional monarchy","Less corrupt","More prepared",21
"BEL","Belgium",11589616,375.564,41.8,42658.576,"Constitutional monarchy","Less corrupt","More prepared",21.4
"BEL","Belgium",11589616,375.564,41.8,42658.576,"Constitutional monarchy","Less corrupt","More prepared",21.7
"BEL","Belgium",11589616,375.564,41.8,42658.576,"Constitutional monarchy","Less corrupt","More prepared",22.1
"BHR","Bahrain",1701583,1935.907,32.4,43290.705,"Constitutional monarchy","Highly corrupt","More prepared",14.2
"BHR","Bahrain",1701583,1935.907,32.4,43290.705,"Constitutional monarchy","Highly corrupt","More prepared",14.4
"BHR","Bahrain",1701583,1935.907,32.4,43290.705,"Constitutional monarchy","Highly corrupt","More prepared",14.6
"BHR","Bahrain",1701583,1935.907,32.4,43290.705,"Constitutional monarchy","Highly corrupt","More prepared",14.8
"BHR","Bahrain",1701583,1935.907,32.4,43290.705,"Constitutional monarchy","Highly corrupt","More prepared",15.1
"BHR","Bahrain",1701583,1935.907,32.4,43290.705,"Constitutional monarchy","Highly corrupt","More prepared",15.4
"BHR","Bahrain",1701583,1935.907,32.4,43290.705,"Constitutional monarchy","Highly corrupt","More prepared",15.7
"BHR","Bahrain",1701583,1935.907,32.4,43290.705,"Constitutional monarchy","Highly corrupt","More prepared",16.1
"BHR","Bahrain",1701583,1935.907,32.4,43290.705,"Constitutional monarchy","Highly corrupt","More prepared",16.5
"BHR","Bahrain",1701583,1935.907,32.4,43290.705,"Constitutional monarchy","Highly corrupt","More prepared",16.9
"BHR","Bahrain",1701583,1935.907,32.4,43290.705,"Constitutional monarchy","Highly corrupt","More prepared",17.3
"BHR","Bahrain",1701583,1935.907,32.4,43290.705,"Constitutional monarchy","Highly corrupt","More prepared",17.7
"BHR","Bahrain",1701583,1935.907,32.4,43290.705,"Constitutional monarchy","Highly corrupt","More prepared",18
